user,repo,duration,status,timestamp,artifacts,failed_tests,total_tests
0x4E0x650x6F,jackson-core,79923,SUCCESS,1493594938592,0,0,186
0x4E0x650x6F,Spring-data-Sample,123888,UNSTABLE,1493594938933,0,6,6
0x4E0x650x6F,spring-portal,41236,SUCCESS,1493594939297,0,0,6
0x4E0x650x6F,springIntegration-json,25549,UNSTABLE,1493594980651,0,2,4
52North,ArcGIS-Server-SOS-Extension,20413,FAILURE,1493595006291,0,0,0
52North,CSWLoDEnabler,28355,FAILURE,1493595018547,0,0,0
52North,FlickrMetaCrawlr,28572,SUCCESS,1493595026774,0,0,0
544,jsfSampleCode,26639,UNSTABLE,1493595046933,0,1,13
5db,ironman,57714,FAILURE,1493595055442,0,0,0
6a209,android-rss,22552,UNSTABLE,1493595062872,0,1,24
9apps,elasticsearch-cloudwatch,39621,SUCCESS,1493595073587,0,0,0
a-covar,elasticsearch,340995,FAILURE,1493595085461,0,0,0
a-henning,DicomFusion,22251,SUCCESS,1493595113189,0,0,0
a-iv,android-rss,22011,UNSTABLE,1493595113255,0,1,24
a289459798,thrift-java,17652,SUCCESS,1493595135343,0,0,1
aaruff,MultiClient,9063,FAILURE,1493595757219,0,0,0
aaruff,MultiCommon,13337,SUCCESS,1493595144081,0,0,0
aaruff,MultiServer,9073,FAILURE,1493595756866,0,0,0
aauren,mule-transport-amqp,565952,FAILURE,1493595157453,0,0,0
abhikc,jersey-passbook,26689,SUCCESS,1493595161635,0,0,6
abid-khan,depth-wise-json-serializer,21704,SUCCESS,1493595188345,0,0,1
abid-khan,environment-specific-build,9947,FAILURE,1493595211819,0,0,0
abid-khan,learning,13870,SUCCESS,1493595221784,0,0,1
abid-khan,poc-spring-data-jpa-envers-integration,21986,UNSTABLE,1493595235680,0,2,2
abid-khan,spring-akka-email,19377,UNSTABLE,1493595257696,0,1,1
abid-khan,spring-hazelcast-integration,28985,FAILURE,1493595264440,0,0,0
Acidity,Vanilla,10421,FAILURE,1493595277094,0,0,0
ada87,xdbox,19349,SUCCESS,1493595287536,0,0,1
adachic,msgpack-java,57774,SUCCESS,1493595293468,0,0,990
Adamki11s,Bukkit,35321,SUCCESS,1493595306902,0,0,357
adamvduke,AppEngine_Common,91669,FAILURE,1493595327011,0,0,0
adamvduke,JavaUtils,19438,SUCCESS,1493595342238,0,0,5
adaptivui,bandit,11550,FAILURE,1493595351507,0,0,0
addisaden,tictactoe-java,14907,SUCCESS,1493595361705,0,0,7
adjohnson916,accessor-SpEL,17674,SUCCESS,1493595363111,0,0,3
adorsys,forge.adorsystools,119393,SUCCESS,1493595376645,0,0,5
adorsys,forge.server,85558,SUCCESS,1493595380843,0,0,1
adrian0cg,lettuce,36655,FAILURE,1493595387102,0,401,428
aduros,pythagoras,28949,SUCCESS,1493595418696,0,0,6
AeroNotix,ghprb-plugin,835280,SUCCESS,1493595423771,0,0,31
aerouk,Bukkit-JavaDoc,41000,SUCCESS,1493595426476,0,0,432
afirel,trigram_regex_search,8587,FAILURE,1493595447679,0,0,0
aflag,rps-sign,21466,SUCCESS,1493595456307,0,0,1
afmckinney,appengine-guestbook-java,25810,SUCCESS,1493595466466,0,0,2
AgentK20,Denizen,12082,FAILURE,1493595467511,0,0,0
AgentK20,YawTest,8911,FAILURE,1493595477819,0,0,0
AgentTroll,Bukkit,36999,SUCCESS,1493595479639,0,0,357
AgentTroll,TrollCommons,24025,SUCCESS,1493595486774,0,0,0
agrison,johm,42224,FAILURE,1493595486765,0,0,0
agrison,jssg,24031,SUCCESS,1493595493108,0,0,1
agrison,jtoml,35784,SUCCESS,1493595496049,0,0,28
agrison,legacy4j,14004,FAILURE,1493595510845,0,0,0
ahagbuje,spring-mvc-chat,22425,SUCCESS,1493595516834,0,0,0
ahmadassaf,Balloon,151742,UNSTABLE,1493595517206,0,7,7
ahmadassaf,CommaFeed-RSS-Reader,21646,FAILURE,1493595524874,0,0,0
ahmadassaf,DBpedia-Lookup,113359,SUCCESS,1493595529045,0,0,0
aindigo,es_tests,30486,UNSTABLE,1493595531843,0,3,3
aisrael,ccdb,16856,SUCCESS,1493595539304,0,0,4
aisrael,jcombinatorics,22100,FAILURE,1493595546561,0,0,41
aisrael,junit,35706,UNSTABLE,1493595556233,0,7,236
aisrael,junit-rules,46376,FAILURE,1493595560466,0,0,0
aisrael,swing-revival,11158,FAILURE,1493595562337,0,0,0
ajaykoppisetty,acra,12833,FAILURE,1493595568707,0,0,0
AjayKumarR,fortressdemo1,54667,FAILURE,1493595573505,0,0,0
AjayKumarR,gaeshiro,37367,SUCCESS,1493595581566,0,0,4
AjayKumarR,PlexRBAC,694118,FAILURE,1493595591975,0,0,0
ajf8,seam-booking-ogm,1633,FAILURE,1493595606869,0,0,0
akarpe,openshift-demo,129562,FAILURE,1493595608528,0,0,0
akiwarheit,java-security-lib,17222,SUCCESS,1493595618957,0,0,1
akkumar,async-http-client,310874,UNSTABLE,1493595622380,0,34,515
akkumar,hbasene,21561,FAILURE,1493595628207,0,0,0
akkumar,jreversepro,21564,SUCCESS,1493595636195,0,0,3
akkumar,LittleProxy,31610,UNSTABLE,1493595642412,0,1,23
akkumar,riak-java-client,47797,SUCCESS,1493595649776,0,0,418
akshayaaradhya,storm-pattern,22028,SUCCESS,1493595657777,0,0,2
akshaykarle,dropwizard-snapci-sample,27797,UNSTABLE,1493595669089,0,1,14
akshayv,Hout-ServerSide,17800,SUCCESS,1493595674049,0,0,0
alegrm,pignlproc,11439,FAILURE,1493595679823,0,0,0
alexeyr,labs-paxexam-karaf-bundle-reference-test,34825,UNSTABLE,1493595691282,0,1,1
AlfioEmanueleFresta,socket.io-client.java,16193,FAILURE,1493595691872,0,0,0
almagest14,jdbc-template-one-to-many,19039,SUCCESS,1493595696895,0,0,2
almagest14,nomats,45170,ABORTED,1493595697445,0,0,0
almagest14,spr-mvc-hib,30639,SUCCESS,1493595697580,0,0,2
almagest14,spring-ex01,12665,FAILURE,1493595708076,0,0,0
almagest14,spring-ex04,14056,FAILURE,1493595716028,0,0,0
almagest14,thymeleaf-custom-layout,17625,SUCCESS,1493595720760,0,0,7
almagest14,thymeleafexamples-petclinic,495,FAILURE,1493595723428,0,0,7
amb-enthusiast,BayesianHack,9373,FAILURE,1493595723960,0,0,0
amb-enthusiast,GeoDataObjects,16574,SUCCESS,1493595726136,0,0,1
amb-enthusiast,GeoNamesIO,18836,SUCCESS,1493595728232,0,0,1
amb-enthusiast,ReportDataObjects,16537,SUCCESS,1493595730128,0,0,1
amb-enthusiast,ReportParser,12100,SUCCESS,1493595733363,0,0,0
amb-enthusiast,TermFreqProcessor,19081,SUCCESS,1493595738112,0,0,1
ammachado,concurrent-batch-framework-java,26794,SUCCESS,1493595738393,0,0,1
ammachado,dynjs,14221,FAILURE,1493595742626,0,0,0
ammachado,Jasper-report-maven-plugin,41805,UNSTABLE,1493595742779,0,1,5
ammachado,jPopulator,23395,SUCCESS,1493595745499,0,0,4
ammachado,liquibase-hibernate,10177,FAILURE,1493595746670,0,0,0
amsz,JCIP,14758,FAILURE,1493595747123,0,0,0
amsz,mongomongo,950,FAILURE,1493595756862,0,0,0
