user,repo,info_logs,warning_logs,memory_used,memory_total,resources
0x4E0x650x6F,jackson-core,47,2,26,62,2
0x4E0x650x6F,Spring-data-Sample,1096,0,22,53,3
0x4E0x650x6F,springIntegration-json,192,0,22,52,2
0x4E0x650x6F,spring-portal,582,13,24,57,2
52North,ArcGIS-Server-SOS-Extension,276,1,12,30,
52North,CSWLoDEnabler,284,2,13,32,
52North,FlickrMetaCrawlr,154,0,18,43,
544,jsfSampleCode,123,0,23,55,7
5db,ironman,590,1,14,34,
6a209,android-rss,482,0,19,47,
9apps,elasticsearch-cloudwatch,767,8,32,86,
a289459798,thrift-java,64,2,19,51,
aaruff,MultiClient,28,12,11,26,
aaruff,MultiCommon,60,0,16,44,
aaruff,MultiServer,38,6,11,26,
aauren,mule-transport-amqp,111,0,13,32,
abhikc,jersey-passbook,464,23,30,85,2
abid-khan,depth-wise-json-serializer,352,8,28,66,
abid-khan,environment-specific-build,18,0,11,26,
abid-khan,learning,42,4,15,38,
abid-khan,poc-spring-data-jpa-envers-integration,200,0,24,58,
abid-khan,spring-akka-email,83,0,21,51,
abid-khan,spring-hazelcast-integration,740,3,20,55,3
Acidity,Vanilla,29,2,10,23,
a-covar,elasticsearch,855,112,55,33,5
ada87,xdbox,75,0,20,46,5
adachic,msgpack-java,1088,21,26,16,3
Adamki11s,Bukkit,126,0,26,81,
adamvduke,AppEngine,388,15,11,26,
adamvduke,JavaUtils,62,0,21,50,3
adaptivui,bandit,62,4,16,40,
addisaden,tictactoe-java,38,0,15,36,
adjohnson916,accessor-SpEL,128,4,18,43,
adorsys,forge.adorsystools,826,2,31,76,3
adorsys,forge.server,1078,2,33,79,4
adrian0cg,lettuce,402,1,25,61,
aduros,pythagoras,460,0,13,35,180
AeroNotix,ghprb-plugin,3330,46,48,11,26
aerouk,Bukkit-JavaDoc,150,0,27,84,
afirel,trigram,16,9,9M,2M,
aflag,rps-sign,490,12,20,48,6
afmckinney,appengine-guestbook-java,146,0,20,49,
AgentK20,Denizen,83,71,12,30,
AgentK20,YawTest,24,2,10,24,
AgentTroll,Bukkit,48,0,23,68,
AgentTroll,TrollCommons,289,36,19,56,
agrison,johm,364,4,19,52,
agrison,jssg,262,622,23,65,8
agrison,jtoml,255,14,24,15,
agrison,legacy4j,45,2,16,38,
ahagbuje,spring-mvc-chat,240,2,22,54,
a-henning,DicomFusion,419,0,20,52,9
ahmadassaf,Balloon,1117,4,35,84,32
ahmadassaf,CommaFeed-RSS-Reader,956,0,24,57,13
ahmadassaf,DBpedia-Lookup,3556,45,24,11,3
aindigo,es,164,13,22,52,2
aisrael,ccdb,36,0,17,41,2
aisrael,jcombinatorics,198,0,21,51,
aisrael,junit,132,14,20,54,
aisrael,junit-rules,460,0,18,43,
aisrael,swing-revival,28,13,11,26,
a-iv,android-rss,74,0,19,46,
ajaykoppisetty,acra,87,0,17,41,
AjayKumarR,fortressdemo1,622,18,35,82,7
AjayKumarR,gaeshiro,341,1,26,64,23
AjayKumarR,PlexRBAC,1557,31,33,83,10
ajf8,seam-booking-ogm,0,0,,,
akarpe,openshift-demo,1092,0,39,93,
akiwarheit,java-security-lib,44,4,17,41,
akkumar,async-http-client,1273,12,33,89,10
akkumar,hbasene,58,10,11,26,
akkumar,jreversepro,66,2,21,51,
akkumar,LittleProxy,772,4,28,66,4
akkumar,riak-java-client,78,14,24,10,
akshayaaradhya,storm-pattern,376,4,21,51,
akshaykarle,dropwizard-snapci-sample,441,0,25,72,
akshayv,Hout-ServerSide,252,0,18,45,3
alegrm,pignlproc,279,9,11,28,
alexeyr,labs-paxexam-karaf-bundle-reference-test,665,3,25,62,
AlfioEmanueleFresta,socket.io-client.java,237,2,20,49,6
almagest14,jdbc-template-one-to-many,95,12,19,48,3
almagest14,nomats,139,0,,,
almagest14,spring-ex01,246,2,14,34,
almagest14,spring-ex04,216,4,20,49,3
almagest14,spr-mvc-hib,176,2,14,34,
almagest14,thymeleaf-custom-layout,104,1,19,47,
almagest14,thymeleafexamples-petclinic,0,0,,,
amb-enthusiast,BayesianHack,93,4,10,25,
amb-enthusiast,GeoDataObjects,50,0,17,42,
amb-enthusiast,GeoNamesIO,38,2,15,36,
amb-enthusiast,ReportDataObjects,50,0,17,42,
amb-enthusiast,ReportParser,41,0,17,42,
amb-enthusiast,TermFreqProcessor,320,0,17,43,
ammachado,concurrent-batch-framework-java,89,10,21,51,3
ammachado,dynjs,240,1,14,40,
ammachado,Jasper-report-maven-plugin,391,13,25,62,92
ammachado,jPopulator,273,1,23,56,
ammachado,liquibase-hibernate,159,1,11,26,
amsz,JCIP,28,12,15,45,
amsz,mongomongo,0,0,,,
